-2603569.996757 -558102.268042 
-2374251.486909 -615149.672800 
-2001990.440441 -894772.111076 
-1855515.395074 -1429270.989071 
-1833235.644281 -1773609.952056 
-1490057.063877 -1713507.340695 
-1152733.051729 -1847148.145202 
-1689148.795599 -1941611.827155 
-1952517.409877 -2104196.513083 
-1810644.740338 -2196328.317210 
-2090459.303210 -2004515.753693 
-2264755.276953 -1882684.641274 
-2602369.847826 -1608737.619659 
-2537234.888731 -1576966.034574 
-2215162.373191 -1490749.342387 
-2357624.432102 -1486902.540054 
-2205799.364382 -1546180.187622 
-1679220.710330 -1294102.875960 
-1849645.401136 -1291973.274656 
-1939744.122700 -1689552.848415 
-1832688.438813 -2081699.990425 
-1885909.442400 -2419142.899524 
-1951942.146127 -2795773.099501 
-2085378.822354 -2772866.134046 
-2236998.080015 -2386368.316583 
-2562267.542097 -2515754.956777 
-2946221.900257 -2257413.111334 
-3089385.188746 -2225986.493129 
-2807672.449806 -2419152.753806 
-2762280.040404 -2399946.162955 
-2702369.976833 -2167239.779076 
-2623978.942225 -1916680.870437 
-2585833.196263 -1702217.319681 
-2396534.489888 -1857421.991897 
-2442146.444554 -2011714.991666 
-2239460.565196 -1952192.890436 
-2135088.184817 -2097044.885019 
-2037065.866927 -2386159.356735 
-2233480.891211 -2266127.897355 
-2148016.011622 -2298202.749956 
-2062740.298445 -2454058.960578 
-2083119.281240 -2460213.248018 
-2002871.533404 -2446182.104589 
-2229493.250666 -2313717.466947 
-1816332.412452 -2475259.319457 
-1754011.948455 -2434317.889266 
-2018101.869012 -2608390.363834 
-2059736.684283 -2876937.502194 
-1760061.784512 -2913163.953196 
-1916116.660433 -2411958.366387 
-2088731.354713 -2621526.193763 
-2197881.329335 -2368894.005892 
-2102691.265084 -2167482.339064 
-1524097.455646 -2181178.393951 
-1930116.586036 -1632597.025494 
-1941764.377929 -1640119.885123 
-1527451.280542 -1595912.883216 
-1494258.081967 -1380722.580535 
-1505246.962947 -1413931.321186 
-1330731.184657 -1383324.154210 
-1186726.251125 -1073973.051557 
-1311382.304952 -1354845.456986 
