Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0,Unnamed: 0,0
0,,0,,0,,0,,0,,0,,0,,0,,0,
1,,1,,1,,1,,1,,1,,1,,1,,1,
2,,2,,2,,2,,2,,2,,2,,2,,2,
3,,3,,3,,3,,3,,3,,3,,3,,3,
4,,4,,4,,4,,4,,4,,4,,4,,4,
5,,5,,5,,5,,5,,5,,5,,5,,5,
6,,6,,6,,6,,6,,6,,6,,6,,6,
7,,7,,7,,7,,7,,7,,7,,7,,7,
8,,8,,8,,8,,8,,8,,8,,8,,8,
9,,9,,9,,9,,9,,9,,9,,9,,9,
10,,10,,10,,10,,10,,10,,10,,10,,10,
11,,11,,11,,11,,11,,11,,11,,11,,11,
12,,12,,12,,12,,12,,12,,12,,12,,12,
13,,13,,13,,13,,13,,13,,13,,13,,13,
14,,14,,14,,14,,14,,14,,14,,14,,14,
15,,15,,15,,15,,15,,15,,15,,15,,15,
16,-14974743.133706918,16,7006039.509992482,16,20262435.235965632,16,403.06889158130497,16,-200.56695292379723,16,-3148.26119987241,16,-0.0161992140971323,16,0.3783043770592537,16,-0.0995188047569607
17,,17,,17,,17,,17,,17,,17,,17,,17,
18,,18,,18,,18,,18,,18,,18,,18,,18,
19,,19,,19,,19,,19,,19,,19,,19,,19,
20,,20,,20,,20,,20,,20,,20,,20,,20,
21,,21,,21,,21,,21,,21,,21,,21,,21,
22,,22,,22,,22,,22,,22,,22,,22,,22,
23,,23,,23,,23,,23,,23,,23,,23,,23,
24,,24,,24,,24,,24,,24,,24,,24,,24,
25,,25,,25,,25,,25,,25,,25,,25,,25,
26,,26,,26,,26,,26,,26,,26,,26,,26,
27,,27,,27,,27,,27,,27,,27,,27,,27,
28,,28,,28,,28,,28,,28,,28,,28,,28,
29,,29,,29,,29,,29,,29,,29,,29,,29,
30,,30,,30,,30,,30,,30,,30,,30,,30,
31,,31,,31,,31,,31,,31,,31,,31,,31,
32,,32,,32,,32,,32,,32,,32,,32,,32,
33,,33,,33,,33,,33,,33,,33,,33,,33,
34,,34,,34,,34,,34,,34,,34,,34,,34,
35,,35,,35,,35,,35,,35,,35,,35,,35,
36,,36,,36,,36,,36,,36,,36,,36,,36,
37,,37,,37,,37,,37,,37,,37,,37,,37,
38,,38,,38,,38,,38,,38,,38,,38,,38,
39,4451800.0860508485,39,14284425.922571825,39,22110686.68509389,39,-1996.1346341495664,39,3147.566931207592,39,1950.729661358428,39,0.1523757870700272,39,0.2150691227865104,39,-0.3652487794468617
40,,40,,40,,40,,40,,40,,40,,40,,40,
41,,41,,41,,41,,41,,41,,41,,41,,41,
42,,42,,42,,42,,42,,42,,42,,42,,42,
43,,43,,43,,43,,43,,43,,43,,43,,43,
44,,44,,44,,44,,44,,44,,44,,44,,44,
45,,45,,45,,45,,45,,45,,45,,45,,45,
46,,46,,46,,46,,46,,46,,46,,46,,46,
47,,47,,47,,47,,47,,47,,47,,47,,47,
48,,48,,48,,48,,48,,48,,48,,48,,48,
49,,49,,49,,49,,49,,49,,49,,49,,49,
50,,50,,50,,50,,50,,50,,50,,50,,50,
51,,51,,51,,51,,51,,51,,51,,51,,51,
52,,52,,52,,52,,52,,52,,52,,52,,52,
53,,53,,53,,53,,53,,53,,53,,53,,53,
54,,54,,54,,54,,54,,54,,54,,54,,54,
55,,55,,55,,55,,55,,55,,55,,55,,55,
56,,56,,56,,56,,56,,56,,56,,56,,56,
57,,57,,57,,57,,57,,57,,57,,57,,57,
58,,58,,58,,58,,58,,58,,58,,58,,58,
59,,59,,59,,59,,59,,59,,59,,59,,59,
60,,60,,60,,60,,60,,60,,60,,60,,60,
61,,61,,61,,61,,61,,61,,61,,61,,61,
62,,62,,62,,62,,62,,62,,62,,62,,62,
63,,63,,63,,63,,63,,63,,63,,63,,63,
64,,64,,64,,64,,64,,64,,64,,64,,64,
65,,65,,65,,65,,65,,65,,65,,65,,65,
66,,66,,66,,66,,66,,66,,66,,66,,66,
67,,67,,67,,67,,67,,67,,67,,67,,67,
68,,68,,68,,68,,68,,68,,68,,68,,68,
69,,69,,69,,69,,69,,69,,69,,69,,69,
70,,70,,70,,70,,70,,70,,70,,70,,70,
71,,71,,71,,71,,71,,71,,71,,71,,71,
72,,72,,72,,72,,72,,72,,72,,72,,72,
73,,73,,73,,73,,73,,73,,73,,73,,73,
74,,74,,74,,74,,74,,74,,74,,74,,74,
75,,75,,75,,75,,75,,75,,75,,75,,75,
76,,76,,76,,76,,76,,76,,76,,76,,76,
77,,77,,77,,77,,77,,77,,77,,77,,77,
78,,78,,78,,78,,78,,78,,78,,78,,78,
79,,79,,79,,79,,79,,79,,79,,79,,79,
80,,80,,80,,80,,80,,80,,80,,80,,80,
81,,81,,81,,81,,81,,81,,81,,81,,81,
82,,82,,82,,82,,82,,82,,82,,82,,82,
83,,83,,83,,83,,83,,83,,83,,83,,83,
84,,84,,84,,84,,84,,84,,84,,84,,84,
85,,85,,85,,85,,85,,85,,85,,85,,85,
86,,86,,86,,86,,86,,86,,86,,86,,86,
87,,87,,87,,87,,87,,87,,87,,87,,87,
88,,88,,88,,88,,88,,88,,88,,88,,88,
89,,89,,89,,89,,89,,89,,89,,89,,89,
90,,90,,90,,90,,90,,90,,90,,90,,90,
91,,91,,91,,91,,91,,91,,91,,91,,91,
92,-2098520.51397604,92,15174579.97624791,92,21866624.370933544,92,-1732.3363824596909,92,2975.6202292027447,92,2457.4342521982176,92,0.1316706588268748,92,0.059873604726197,92,-0.285953079323154
93,,93,,93,,93,,93,,93,,93,,93,,93,
94,,94,,94,,94,,94,,94,,94,,94,,94,
95,,95,,95,,95,,95,,95,,95,,95,,95,
96,,96,,96,,96,,96,,96,,96,,96,,96,
97,,97,,97,,97,,97,,97,,97,,97,,97,
98,,98,,98,,98,,98,,98,,98,,98,,98,
99,,99,,99,,99,,99,,99,,99,,99,,99,
100,,100,,100,,100,,100,,100,,100,,100,,100,
101,,101,,101,,101,,101,,101,,101,,101,,101,
102,,102,,102,,102,,102,,102,,102,,102,,102,
103,,103,,103,,103,,103,,103,,103,,103,,103,
104,,104,,104,,104,,104,,104,,104,,104,,104,
105,,105,,105,,105,,105,,105,,105,,105,,105,
106,,106,,106,,106,,106,,106,,106,,106,,106,
107,,107,,107,,107,,107,,107,,107,,107,,107,
108,,108,,108,,108,,108,,108,,108,,108,,108,
109,,109,,109,,109,,109,,109,,109,,109,,109,
110,,110,,110,,110,,110,,110,,110,,110,,110,
111,,111,,111,,111,,111,,111,,111,,111,,111,
112,,112,,112,,112,,112,,112,,112,,112,,112,
113,,113,,113,,113,,113,,113,,113,,113,,113,
114,,114,,114,,114,,114,,114,,114,,114,,114,
115,,115,,115,,115,,115,,115,,115,,115,,115,
116,,116,,116,,116,,116,,116,,116,,116,,116,
117,,117,,117,,117,,117,,117,,117,,117,,117,
118,,118,,118,,118,,118,,118,,118,,118,,118,
119,,119,,119,,119,,119,,119,,119,,119,,119,
120,,120,,120,,120,,120,,120,,120,,120,,120,
121,,121,,121,,121,,121,,121,,121,,121,,121,
122,-8734279.389400257,122,12563162.879008178,122,21554734.46675883,122,2191.845960967188,122,-404.87220691441337,122,-1482.7844711961,122,-0.0028634876953244,122,-0.0291498718712725,122,0.4137707779663742
123,,123,,123,,123,,123,,123,,123,,123,,123,
124,22116311.434607822,124,14268596.2157895,124,4460944.067630018,124,-1943.4058123662503,124,-2910.5958807207653,124,1313.6710608803928,124,-0.1577031988660565,124,0.232522848041348,124,0.4246923501832042
125,,125,,125,,125,,125,,125,,125,,125,,125,
126,,126,,126,,126,,126,,126,,126,,126,,126,
127,,127,,127,,127,,127,,127,,127,,127,,127,
128,,128,,128,,128,,128,,128,,128,,128,,128,
