time,sv,SVclockBias,SVclockDrift,SVclockDriftRate,IODE,Crs,DeltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,CodesL2,GPSWeek,L2Pflag,SVacc,health,TGD,IODC,TransTime
2023-05-18,G01,0.000184581615031,-2.72848410532e-12,0.0,96.0,-125.0625,3.73372695329e-09,-1.56273995355,-6.39818608761e-06,0.0128551342059,9.52184200287e-06,5153.64860344,345600.0,2.86847352982e-07,2.51875977689,0.0,0.990055042555,205.65625,0.96161893602,-7.56567228348e-09,-6.21454457501e-11,1.0,2262.0,0.0,2.4,0.0,4.65661287308e-09,96.0,345636.0
2023-05-18,G04,4.41530719399e-05,9.77706804406e-12,0.0,21.0,-10.65625,5.01306595718e-09,0.15163125557,-7.63684511185e-07,0.00237958249636,4.54112887383e-06,5153.66054153,345600.0,1.86264514923e-09,-1.65342452489,3.72529029846e-09,0.962266467449,288.90625,-2.97143120573,-8.31391773662e-09,-2.70725562521e-10,1.0,2262.0,0.0,2.4,0.0,-4.65661287308e-09,789.0,345636.0
2023-05-18,G07,0.000175666064024,-9.32232069317e-12,0.0,17.0,-13.3125,4.35268130665e-09,-2.19556435592,-8.12113285065e-07,0.0172942095669,1.13490968943e-05,5153.75325394,345600.0,9.685754776e-08,-0.637953622838,-1.78813934326e-07,0.950471699213,152.03125,-2.19707903936,-7.61353141986e-09,-4.91449042254e-10,1.0,2262.0,0.0,2.4,0.0,-1.11758708954e-08,17.0,345636.0
2023-05-18,G08,-0.000122915953398,-1.81898940355e-12,0.0,18.0,-6.59375,4.90841874106e-09,0.62839776002,-3.44589352608e-07,0.00845196354203,6.20260834694e-07,5153.69469643,345600.0,5.77419996262e-08,1.42673830554,1.78813934326e-07,0.958529985959,366.8125,0.266557415232,-8.69464788127e-09,2.10723063176e-11,1.0,2262.0,0.0,2.4,0.0,5.12227416039e-09,18.0,345636.0
2023-05-18,G09,-0.000156548805535,8.4128259914e-12,0.0,44.0,-2.5625,5.14842873844e-09,1.04730545945,-3.70666384697e-07,0.00234492844902,4.48897480965e-06,5153.60480118,345600.0,-2.23517417908e-08,-1.71006784687,-5.21540641785e-08,0.955565034296,289.09375,1.9555343151,-8.36927718542e-09,-1.55720772109e-10,1.0,2262.0,0.0,2.4,0.0,9.31322574615e-10,44.0,345666.0
2023-05-18,G16,-0.000500101130456,3.29691829393e-12,0.0,60.0,137.125,4.32375153018e-09,1.52883279672,7.04824924469e-06,0.0133150742622,7.47665762901e-06,5153.60359955,345600.0,-1.76951289177e-07,0.494495915865,1.11758708954e-08,0.965568368644,240.125,0.78884548889,-8.22819988041e-09,2.75011455331e-10,1.0,2262.0,0.0,2.4,0.0,-1.02445483208e-08,60.0,345666.0
2023-05-18,G21,0.000153761357069,-1.13686837722e-13,0.0,41.0,-133.65625,4.57554773279e-09,0.587892115586,-7.26617872715e-06,0.0246618727688,8.17887485027e-06,5153.62587547,345600.0,1.67638063431e-07,2.41539016681,-4.43309545517e-07,0.961787885503,227.46875,-0.760900962328,-8.45356641069e-09,-1.6000666492e-10,1.0,2262.0,0.0,2.4,0.0,-1.02445483208e-08,41.0,345666.0
2023-05-18,G26,0.000240657478571,-3.41060513165e-13,0.0,53.0,142.09375,4.86520265522e-09,2.45833030296,7.2754919529e-06,0.00788690359332,8.64826142788e-06,5153.69631004,345600.0,-8.75443220139e-08,0.338576853256,-7.82310962677e-08,0.934418790453,197.71875,0.464711641082,-8.29034532616e-09,2.99298181256e-10,1.0,2262.0,0.0,2.4,0.0,6.98491930962e-09,53.0,345666.0
2023-05-18,G27,3.53120267391e-05,-7.84439180279e-12,0.0,98.0,-13.46875,4.75091218028e-09,0.654389288021,-8.27014446259e-07,0.0115738506429,9.64850187302e-07,5153.66282272,345600.0,-1.35973095894e-07,1.45001951301,1.67638063431e-07,0.96740761801,365.75,0.736816443134,-8.66393231613e-09,-6.96457581682e-11,1.0,2262.0,0.0,2.4,0.0,1.39698386192e-09,98.0,345666.0
2023-05-18,G30,-0.000516591127962,2.04636307899e-12,0.0,57.0,-14.25,4.78484216502e-09,-2.31232689763,-8.32602381706e-07,0.00649000448175,1.12093985081e-05,5153.59923935,345600.0,-5.96046447754e-08,-0.631696172155,-4.09781932831e-08,0.935603635601,149.125,-2.58882263659,-7.98818988303e-09,-5.26450500205e-10,1.0,2262.0,0.0,2.4,0.0,3.25962901115e-09,57.0,345666.0
2023-05-18,G31,-0.0002163159661,-6.8212102633e-13,0.0,68.0,5.9375,4.34768109837e-09,-3.06453363687,1.6950070858e-07,0.0105817206204,1.17588788271e-05,5154.21974564,345600.0,-2.421438694e-08,-0.618009738198,-1.43423676491e-07,0.954574758716,147.28125,0.530262690267,-7.73282210308e-09,-6.2216877297e-10,1.0,2262.0,0.0,2.4,0.0,-1.30385160446e-08,68.0,345696.0
